皮革	つくりがわ	/(n) kanji "leather" radical (radical 177)/
酢	す	/(n) vinegar/(P)/
巣	す	/(n) (1) nest/rookery/breeding place/hive/(2) den/(3) haunt/(4) (spider's) web/(P)/
墨	ぼく	/(n,n-pref,n-suf) (abbr) Mexico/
隅	すみ	/(n,n-suf) corner/nook/recess/(P)/
炭	すみ	/(n) (1) charcoal/(2) (obsc) charred remains/(P)/
影	かげ	/(n) (1) shadow/silhouette/figure/shape/(2) reflection/image/(3) ominous sign/(4) light (stars, moon)/(5) trace/shadow (of one's former self)/(P)/
影	かげ	/(n) (1) shadow/silhouette/figure/shape/(2) reflection/image/(3) ominous sign/(4) light (stars, moon)/(5) trace/shadow (of one's former self)/(P)/
油	あぶら	/(n) oil/(P)/
脂	やに	/(n) (1) resin/(2) (tobacco) resin/tar/nicotine/(3) sleep (in one's eyes, i.e. eye mucus)/
熱い	あつい	/(adj-i) (1) hot (thing)/(2) passionate (feelings, etc.)/ardent/hot (e.g. gaze)/(3) hot (e.g. temper)/(4) zealous/enthusiastic/fired up/(5) intense/severe/extreme/(6) hot (topic)/of interest/(P)/
厚い	あつい	/(adj-i) (1) thick/deep/heavy/(2) kind/cordial/hospitable/warm/faithful/(3) abundant/(P)/
固い	かたい	/(adj-i) (1) hard/solid/tough/(2) stiff/tight/wooden/unpolished (e.g. writing)/(3) strong/firm (not viscous or easily moved)/(4) safe/steady/honest/steadfast/(5) obstinate/stubborn/(6) bookish/formal/stuffy/(P)/
硬い	かたい	/(adj-i) (1) hard/solid/tough/(2) stiff/tight/wooden/unpolished (e.g. writing)/(3) strong/firm (not viscous or easily moved)/(4) safe/steady/honest/steadfast/(5) obstinate/stubborn/(6) bookish/formal/stuffy/(P)/
口が堅い	くちがかたい	/(exp,adj-i) tight-lipped/able to keep a secret/
気が荒い	きがあらい	/(exp,adj-i) (id) bad-tempered/aggressive/quarrelsome/
粗い	あらい	/(adj-i) coarse/rough/(P)/
移す	うつす	/(v5s,vt) (1) to change/to swap/to substitute/to transfer/(2) to change the object of one's interest or focus/(3) to spend or take time/(4) to infect/(5) to permeate something with the smell or colour of something/(6) to move on to the next or different stage of (a plan, etc.)/(P)/
写す	うつす	/(v5s,vt) (1) to transcribe/to duplicate/to reproduce/to imitate/to trace/(2) to describe/(3) to film/to picture/to photograph/(P)/
映す	うつす	/(v5s,vt) to project/to reflect/to cast (shadow)/(P)/
聞く	きく	/(v5k,vt) (1) to hear/(2) to listen (e.g. to music)/(3) to ask/to enquire/to query/(4) to learn of/to hear about/(5) to follow (advice)/to comply with/(6) to smell (esp. incense)/to sample fragrance/(P)/
聴く	きく	/(v5k,vt) (1) to hear/(2) to listen (e.g. to music)/(3) to ask/to enquire/to query/(4) to learn of/to hear about/(5) to follow (advice)/to comply with/(6) to smell (esp. incense)/to sample fragrance/(P)/
効く	きく	/(v5k,vi) (1) to be effective/to show effect/(2) to do its work/to carry out its function well/(3) to be possible to use/(P)/
効き目	ききめ	/(n) effect/virtue/efficacy/impression/(P)/
気が利く	きがきく	/(exp,v5k) (1) to be sensible/to be smart/to be tasteful/(2) to be thoughtful/to be tactful/to be sensitive/
左利き	ひだりきき	/(n,adj-no) (1) left-handedness/left-hander/(2) drinker/wine lover/(P)/
探す	さがす	/(v5s,vt) (1) to search (for something desired, needed)/to look for/(2) to search (for something lost)/to seek (a suspect in a crime)/(P)/
捜す	さがす	/(v5s,vt) (1) to search (for something desired, needed)/to look for/(2) to search (for something lost)/to seek (a suspect in a crime)/(P)/
表す	ひょうす	/(v5s,vt) to express/to show/
現す	あらわす	/(v5s,vt) (1) to represent/to signify/to stand for/(2) to reveal/to show/to display/(3) to express/(4) to make widely known/(P)/
著す	あらわす	/(v5s,vt) to write/to publish/(P)/
